6,5125,Carpinteria.free
12,4668,Carpinteria.free
14,862,Carpinteria.free
36,5850,Carpinteria.free
38,1745,Carpinteria.free
46,83,Carpinteria.free
74,80,Carpinteria.free
78,81,Carpinteria.free
98,32,Carpinteria.free
102,4,Carpinteria.free
108,188,Carpinteria.free
110,0,Carpinteria.free
238,10,Carpinteria.free
6,9851,Ythan.con
12,4649,Ythan.con
14,2208,Ythan.con
36,8418,Ythan.con
38,1930,Ythan.con
46,161,Ythan.con
74,1657,Ythan.con
78,336,Ythan.con
98,51,Ythan.con
102,153,Ythan.con
108,448,Ythan.con
110,48,Ythan.con
238,25,Ythan.con
6,16414,Carpinteria.parasite
12,20018,Carpinteria.parasite
14,1271,Carpinteria.parasite
36,12757,Carpinteria.parasite
38,7002,Carpinteria.parasite
46,820,Carpinteria.parasite
74,262,Carpinteria.parasite
78,81,Carpinteria.parasite
98,2361,Carpinteria.parasite
102,72,Carpinteria.parasite
108,681,Carpinteria.parasite
110,40,Carpinteria.parasite
238,37,Carpinteria.parasite
6,35235,Estero.parasite
12,41698,Estero.parasite
14,1939,Estero.parasite
36,24051,Estero.parasite
38,11835,Estero.parasite
46,1722,Estero.parasite
74,775,Estero.parasite
78,64,Estero.parasite
98,3323,Estero.parasite
102,167,Estero.parasite
108,1208,Estero.parasite
110,40,Estero.parasite
238,111,Estero.parasite
6,17035,Sylt.parasite
12,19702,Sylt.parasite
14,196,Sylt.parasite
36,15384,Sylt.parasite
38,4698,Sylt.parasite
46,88,Sylt.parasite
74,101,Sylt.parasite
78,3,Sylt.parasite
98,965,Sylt.parasite
102,74,Sylt.parasite
108,45,Sylt.parasite
110,3,Sylt.parasite
238,0,Sylt.parasite
6,5782,Fjord.parasite
12,6321,Fjord.parasite
14,52,Fjord.parasite
36,5332,Fjord.parasite
38,1633,Fjord.parasite
46,10,Fjord.parasite
74,31,Fjord.parasite
78,0,Fjord.parasite
98,275,Fjord.parasite
102,7,Fjord.parasite
108,19,Fjord.parasite
110,1,Fjord.parasite
238,0,Fjord.parasite
6,0,Estero.paronly
12,0,Estero.paronly
14,0,Estero.paronly
36,12,Estero.paronly
38,339,Estero.paronly
46,61,Estero.paronly
74,4,Estero.paronly
78,0,Estero.paronly
98,0,Estero.paronly
102,1,Estero.paronly
108,212,Estero.paronly
110,40,Estero.paronly
238,27,Estero.paronly
6,9591,Bahia.free
12,6307,Bahia.free
14,630,Bahia.free
36,6973,Bahia.free
38,1941,Bahia.free
46,38,Bahia.free
74,16,Bahia.free
78,25,Bahia.free
98,50,Bahia.free
102,0,Bahia.free
108,54,Bahia.free
110,0,Bahia.free
238,1,Bahia.free
6,63,Fjord.paronly
12,0,Fjord.paronly
14,9,Fjord.paronly
36,71,Fjord.paronly
38,10,Fjord.paronly
46,1,Fjord.paronly
74,10,Fjord.paronly
78,0,Fjord.paronly
98,0,Fjord.paronly
102,0,Fjord.paronly
108,0,Fjord.paronly
110,1,Fjord.paronly
238,0,Fjord.paronly
6,12413,Fjord.con
12,4739,Fjord.con
14,4195,Fjord.con
36,5150,Fjord.con
38,2644,Fjord.con
46,382,Fjord.con
74,1175,Fjord.con
78,635,Fjord.con
98,3,Fjord.con
102,483,Fjord.con
108,194,Fjord.con
110,221,Fjord.con
238,5,Fjord.con
6,131,Sylt.paronly
12,0,Sylt.paronly
14,0,Sylt.paronly
36,115,Sylt.paronly
38,71,Sylt.paronly
46,0,Sylt.paronly
74,0,Sylt.paronly
78,0,Sylt.paronly
98,0,Sylt.paronly
102,0,Sylt.paronly
108,0,Sylt.paronly
110,0,Sylt.paronly
238,0,Sylt.paronly
6,33125,Bahia.con
12,14918,Bahia.con
14,20805,Bahia.con
36,18062,Bahia.con
38,6504,Bahia.con
46,1296,Bahia.con
74,10051,Bahia.con
78,10165,Bahia.con
98,96,Bahia.con
102,1824,Bahia.con
108,1809,Bahia.con
110,2172,Bahia.con
238,422,Bahia.con
6,7251,Sylt.free
12,5094,Sylt.free
14,79,Sylt.free
36,9217,Sylt.free
38,1855,Sylt.free
46,69,Sylt.free
74,50,Sylt.free
78,2,Sylt.free
98,0,Sylt.free
102,0,Sylt.free
108,45,Sylt.free
110,1,Sylt.free
238,0,Sylt.free
6,12465,Estero.free
12,9907,Estero.free
14,1040,Estero.free
36,11975,Estero.free
38,4203,Estero.free
46,553,Estero.free
74,422,Estero.free
78,64,Estero.free
98,44,Estero.free
102,2,Estero.free
108,548,Estero.free
110,0,Estero.free
238,84,Estero.free
6,20,Otago.paronly
12,5,Otago.paronly
14,0,Otago.paronly
36,3,Otago.paronly
38,14,Otago.paronly
46,0,Otago.paronly
74,0,Otago.paronly
78,0,Otago.paronly
98,0,Otago.paronly
102,0,Otago.paronly
108,0,Otago.paronly
110,0,Otago.paronly
238,0,Otago.paronly
6,3940,Fjord.free
12,2080,Fjord.free
14,0,Fjord.free
36,3314,Fjord.free
38,685,Fjord.free
46,0,Fjord.free
74,0,Fjord.free
78,0,Fjord.free
98,0,Fjord.free
102,0,Fjord.free
108,0,Fjord.free
110,0,Fjord.free
238,0,Fjord.free
6,23114,Bahia.parasite
12,23746,Bahia.parasite
14,1018,Bahia.parasite
36,15344,Bahia.parasite
38,6042,Bahia.parasite
46,564,Bahia.parasite
74,134,Bahia.parasite
78,25,Bahia.parasite
98,1288,Bahia.parasite
102,68,Bahia.parasite
108,375,Bahia.parasite
110,40,Bahia.parasite
238,28,Bahia.parasite
6,1864,Ythan.free
12,1241,Ythan.free
14,8,Ythan.free
36,2551,Ythan.free
38,362,Ythan.free
46,4,Ythan.free
74,21,Ythan.free
78,0,Ythan.free
98,0,Ythan.free
102,0,Ythan.free
108,13,Ythan.free
110,0,Ythan.free
238,0,Ythan.free
6,0,Carpinteria.paronly
12,0,Carpinteria.paronly
14,0,Carpinteria.paronly
36,0,Carpinteria.paronly
38,339,Carpinteria.paronly
46,61,Carpinteria.paronly
74,0,Carpinteria.paronly
78,0,Carpinteria.paronly
98,0,Carpinteria.paronly
102,1,Carpinteria.paronly
108,212,Carpinteria.paronly
110,40,Carpinteria.paronly
238,27,Carpinteria.paronly
6,27757,Carpinteria.con
12,14334,Carpinteria.con
14,15983,Carpinteria.con
36,17743,Carpinteria.con
38,8819,Carpinteria.con
46,1769,Carpinteria.con
74,11685,Carpinteria.con
78,7820,Carpinteria.con
98,181,Carpinteria.con
102,3029,Carpinteria.con
108,2033,Carpinteria.con
110,2239,Carpinteria.con
238,426,Carpinteria.con
6,12579,Otago.parasite
12,10049,Otago.parasite
14,732,Otago.parasite
36,10724,Otago.parasite
38,2701,Otago.parasite
46,217,Otago.parasite
74,394,Otago.parasite
78,40,Otago.parasite
98,91,Otago.parasite
102,22,Otago.parasite
108,215,Otago.parasite
110,25,Otago.parasite
238,16,Otago.parasite
6,2235,Ythan.parasite
12,2770,Ythan.parasite
14,8,Ythan.parasite
36,3934,Ythan.parasite
38,490,Ythan.parasite
46,4,Ythan.parasite
74,24,Ythan.parasite
78,0,Ythan.parasite
98,0,Ythan.parasite
102,0,Ythan.parasite
108,13,Ythan.parasite
110,0,Ythan.parasite
238,0,Ythan.parasite
6,16374,Otago.con
12,7573,Otago.con
14,3649,Otago.con
36,12428,Otago.con
38,3170,Otago.con
46,534,Otago.con
74,2030,Otago.con
78,705,Otago.con
98,30,Otago.con
102,456,Otago.con
108,380,Otago.con
110,334,Otago.con
238,52,Otago.con
6,24288,Sylt.con
12,11821,Sylt.con
14,11027,Sylt.con
36,22010,Sylt.con
38,6199,Sylt.con
46,1375,Sylt.con
74,8653,Sylt.con
78,5750,Sylt.con
98,91,Sylt.con
102,2382,Sylt.con
108,527,Sylt.con
110,846,Sylt.con
238,0,Sylt.con
6,10779,Otago.free
12,5920,Otago.free
14,634,Otago.free
36,9177,Otago.free
38,1950,Otago.free
46,211,Otago.free
74,272,Otago.free
78,36,Otago.free
98,0,Otago.free
102,0,Otago.free
108,182,Otago.free
110,22,Otago.free
238,16,Otago.free
6,0,Bahia.paronly
12,0,Bahia.paronly
14,0,Bahia.paronly
36,0,Bahia.paronly
38,339,Bahia.paronly
46,61,Bahia.paronly
74,0,Bahia.paronly
78,0,Bahia.paronly
98,0,Bahia.paronly
102,1,Bahia.paronly
108,212,Bahia.paronly
110,40,Bahia.paronly
238,27,Bahia.paronly
6,54,Ythan.paronly
12,2,Ythan.paronly
14,0,Ythan.paronly
36,135,Ythan.paronly
38,3,Ythan.paronly
46,0,Ythan.paronly
74,116,Ythan.paronly
78,29,Ythan.paronly
98,0,Ythan.paronly
102,0,Ythan.paronly
108,65,Ythan.paronly
110,2,Ythan.paronly
238,23,Ythan.paronly
6,82158,Estero.con
12,29917,Estero.con
14,28411,Estero.con
36,42675,Estero.con
38,19234,Estero.con
46,2817,Estero.con
74,17793,Estero.con
78,8007,Estero.con
98,284,Estero.con
102,4288,Estero.con
108,3736,Estero.con
110,2098,Estero.con
238,469,Estero.con
